,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
459,459,459,2014,A Better World,['Marcus Sakey'],Science Fiction,0,2,5,39,162,92,4.123333333333333,3.96,78533.0,6244.0,https://www.goodreads.com/book/show/20797535-a-better-world?from_choice=true,169.0,English,,,,
460,460,460,2014,Cibola Burn,['James S.A. Corey'],Science Fiction,0,0,11,44,143,102,4.12,4.24,533078.0,33985.0,https://www.goodreads.com/book/show/18656030-cibola-burn?from_choice=true,169.0,English,,,,
505,505,505,2014,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,['Randall Munroe'],Nonfiction,0,1,0,19,102,176,4.516778523489934,4.16,132666.0,9829.0,https://www.goodreads.com/book/show/21413662-what-if?from_choice=true,,,,,,
567,567,567,2014,Sweet Addiction,['J.  Daniels'],Debut Goodreads Author,0,1,13,47,116,121,4.151006711409397,4.17,125022.0,12676.0,https://www.goodreads.com/book/show/22028454-sweet-addiction?from_choice=true,215.0,English,,,,
587,587,587,2014,Make It Ahead: A Barefoot Contessa Cookbook,['Ina Garten'],Food & Cookbooks,1,5,18,60,105,111,4.0,4.16,166255.0,1704.0,https://www.goodreads.com/book/show/20697389-make-it-ahead?from_choice=true,,,,,,
610,610,610,2015,"The Unbeatable Squirrel Girl, Vol. 1: Squirrel Power","['Ryan North', 'Erica Henderson', 'Maris Wicks', 'Kyle Starks', 'Chris Giarrusso', 'Rico Renzi', 'Wil Moss']",Graphic Novels & Comics,0,1,7,31,111,148,4.3355704697986575,4.14,91496.0,9790.0,https://www.goodreads.com/book/show/23732096-the-unbeatable-squirrel-girl-vol-1?from_choice=true,91.0,English,,,,
611,611,611,2015,The Far Reaching Tentacles of N'rygoth,"['Kurtis J. Wiebe', 'Roc Upchurch', 'Stjepan Šejić']",Graphic Novels & Comics,0,0,1,22,152,125,4.336666666666667,4.05,95446.0,8240.0,https://www.goodreads.com/book/show/23012877-the-far-reaching-tentacles-of-n-rygoth?from_choice=true,209.0,English,,,,
612,612,612,2015,"The Wicked + The Divine, Vol. 2: Fandemonium","['Kieron Gillen', 'Jamie McKelvie', 'Matt Wilson', 'Clayton Cowles']",Graphic Novels & Comics,0,0,7,37,120,134,4.278523489932886,,,,https://www.goodreads.com/book/show/24666002-the-wicked-the-divine-vol-2?from_choice=true,,,,,,
673,673,673,2015,The Air He Breathes,['Brittainy C. Cherry'],Romance,0,0,6,29,71,192,4.506711409395972,4.26,160480.0,21823.0,https://www.goodreads.com/book/show/26721257-the-air-he-breathes?from_choice=true,67.0,English,,,,
674,674,674,2015,Thoughtful,['S.C. Stephens'],Romance,0,2,3,38,85,155,4.371024734982332,4.23,378805.0,25396.0,https://www.goodreads.com/book/show/22675992-thoughtful?from_choice=true,280.0,English,,,,
