,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daystocom,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
967,967,967,2015,The Wrath and the Dawn,['Renée Ahdieh'],Young Adult Fantasy,0,0.023972602739726026,0.04452054794520549,0.11301369863013698,0.273972602739726,0.5445205479452054,4.27054794520548,4.03,224632.0,37855.0,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn?from_choice=true,203.0,0399171614,0.0,inf,inf,0.0
968,968,968,2015,Dead of Winter,['Kresley Cole'],Young Adult Fantasy,0,0.01718213058419244,0.048109965635738834,0.12027491408934707,0.30927835051546393,0.5051546391752577,4.237113402061857,4.28,812184.0,45081.0,https://www.goodreads.com/book/show/18748007-dead-of-winter?from_choice=true,329.0,1481423452,1.0,4.0,4.0,1.0
969,969,969,2015,The Darkest Part of the Forest,['Holly Black'],Young Adult Fantasy,0,0.017123287671232876,0.051369863013698634,0.1541095890410959,0.3938356164383562,0.3835616438356164,4.075342465753423,3.96,1046907.0,111448.0,https://www.goodreads.com/book/show/20958632-the-darkest-part-of-the-forest?from_choice=true,322.0,0316213071,1.0,14.0,14.0,1.0
970,970,970,2015,End of Days,['Susan Ee'],Young Adult Fantasy,0,0.013937282229965157,0.055749128919860634,0.2404181184668989,0.28919860627177696,0.40069686411149824,4.006968641114983,4.16,288293.0,29978.0,https://www.goodreads.com/book/show/23901077-end-of-days?from_choice=true,203.0,1477829709,0.0,inf,inf,0.0
971,971,971,2015,Gathering Darkness,['Morgan Rhodes'],Young Adult Fantasy,0,0.013422818791946308,0.013422818791946308,0.10738255033557048,0.3926174496644295,0.4731543624161074,4.298657718120805,4.07,144393.0,20853.0,https://www.goodreads.com/book/show/20821149-gathering-darkness?from_choice=true,357.0,1595147055,0.0,inf,inf,0.0
972,972,972,2015,The Heart of Betrayal,['Mary E. Pearson'],Young Adult Fantasy,0,0.003389830508474576,0.030508474576271188,0.1016949152542373,0.3559322033898305,0.5084745762711864,4.335593220338983,4.03,223539.0,28450.0,https://www.goodreads.com/book/show/21569527-the-heart-of-betrayal?from_choice=true,147.0,0805099247,0.0,inf,inf,0.0
973,973,973,2015,Firefight,['Brandon Sanderson'],Young Adult Fantasy,0,0.0,0.020066889632107024,0.12040133779264214,0.34448160535117056,0.5150501672240803,4.354515050167223,4.39,2997209.0,196921.0,https://www.goodreads.com/book/show/15704459-firefight?from_choice=true,329.0,0385743580,8.0,0.2577628968253968,1.0,1.0
974,974,974,2015,Library of Souls,['Ransom Riggs'],Young Adult Fantasy,0,0.010416666666666666,0.010416666666666666,0.125,0.3993055555555556,0.4548611111111111,4.27777777777778,3.96,1219524.0,92733.0,https://www.goodreads.com/book/show/24120519-library-of-souls?from_choice=true,70.0,159474758X,0.0,inf,inf,0.0
975,975,975,2015,Illuminae,"['Amie Kaufman', 'Jay Kristoff']",Young Adult Fantasy,0,0.006993006993006993,0.02097902097902098,0.1153846153846154,0.23776223776223776,0.6188811188811189,4.440559440559442,4.23,278955.0,57031.0,https://www.goodreads.com/book/show/23395680-illuminae?from_choice=true,42.0,0553499114,0.0,inf,inf,0.0
976,976,976,2015,Strands of Sorrow,['John Ringo'],Science Fiction,0,0.0033333333333333327,0.02333333333333333,0.10666666666666667,0.37333333333333335,0.4933333333333334,4.33,4.1,179774.0,5650.0,https://www.goodreads.com/book/show/21412172-strands-of-sorrow?from_choice=true,329.0,1476736952,0.0,inf,inf,0.0
977,977,977,2015,The End of All Things,['John Scalzi'],Science Fiction,0,0.0,0.016666666666666666,0.2633333333333333,0.5066666666666667,0.21333333333333326,3.9166666666666665,4.03,670966.0,54300.0,https://www.goodreads.com/book/show/23168809-the-end-of-all-things?from_choice=true,112.0,0765376075,0.0,inf,inf,0.0
