,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
69,69,69,2013,Ten Tiny Breaths,['K.A. Tucker'],Romance,0,4,4,27,79,184,4.4597315436241605,4.17,218964.0,22540.0,https://www.goodreads.com/book/show/15990969-ten-tiny-breaths?from_choice=true,358.0,0991686004,0.0,inf,inf,0.0
70,70,70,2013,Beauty from Pain,['Georgia Cates'],Romance,0,3,2,16,95,182,4.5134228187919465,4.15,157756.0,11409.0,https://www.goodreads.com/book/show/17156015-beauty-from-pain?from_choice=true,309.0,148234873X,0.0,inf,inf,0.0
71,71,71,2013,Walking Disaster,['Jamie McGuire'],Romance,0,3,18,44,100,123,4.118055555555555,4.11,1050198.0,70717.0,https://www.goodreads.com/book/show/15745950-walking-disaster?from_choice=true,246.0,1476712980,0.0,inf,inf,0.0
72,72,72,2013,Entwined with You,['Sylvia Day'],Romance,0,2,10,56,110,118,4.121621621621622,4.15,1251219.0,61516.0,https://www.goodreads.com/book/show/15731779-entwined-with-you?from_choice=true,183.0,0425263924,0.0,inf,inf,0.0
73,73,73,2013,Beneath This Man,['Jodi Ellen Malpas'],Romance,0,1,8,27,76,188,4.473333333333334,4.22,355794.0,26088.0,https://www.goodreads.com/book/show/18149927-beneath-this-man?from_choice=true,169.0,B00DB7RDR2,0.0,inf,inf,0.0
74,74,74,2013,Lover at Last,['J.R. Ward'],Romance,1,1,8,57,115,111,4.119863013698629,4.3,1853448.0,104336.0,https://www.goodreads.com/book/show/13570854-lover-at-last?from_choice=true,253.0,0451239350,0.0,inf,inf,0.0
75,75,75,2013,My Dog: The Paradox: A Lovable Discourse about Man's Best Friend,"['Matthew Inman', 'The Oatmeal']",Humor,0,6,10,40,85,159,4.27,4.04,63593.0,4648.0,https://www.goodreads.com/book/show/17138271-my-dog?from_choice=true,211.0,1449437524,0.0,inf,inf,0.0
76,76,76,2013,Vader's Little Princess,['Jeffrey Brown'],Humor,0,4,11,74,118,93,3.95,4.02,86210.0,8818.0,https://www.goodreads.com/book/show/15852522-vader-s-little-princess?from_choice=true,225.0,1452118698,0.0,inf,inf,0.0
77,77,77,2013,Wallbanger,['Alice Clayton'],Humor,0,2,2,18,119,156,4.430976430976432,4.06,328120.0,27293.0,https://www.goodreads.com/book/show/15858248-wallbanger?from_choice=true,372.0,1623420024,0.0,inf,inf,0.0
78,78,78,2013,To Be or Not To Be: A Chooseable-Path Adventure,['Ryan North'],Humor,0,3,9,49,94,144,4.22742474916388,4.14,91496.0,9790.0,https://www.goodreads.com/book/show/17938417-to-be-or-not-to-be?from_choice=true,85.0,0982853742,0.0,inf,inf,0.0
79,79,79,2013,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",['Allie Brosh'],Humor,1,0,1,26,112,160,4.441471571906353,4.18,158074.0,11705.0,https://www.goodreads.com/book/show/17571007-hyperbole-and-a-half?from_choice=true,36.0,1451666187,0.0,inf,inf,0.0
80,80,80,2013,Wedding Night,['Sophie Kinsella'],Humor,0,9,44,108,100,36,3.3703703703703702,3.74,2548709.0,106960.0,https://www.goodreads.com/book/show/16071830-wedding-night?from_choice=true,225.0,0812993845,0.0,inf,inf,0.0
81,81,81,2013,Parenting: Illustrated with Crappy Pictures,['Amber Dusick'],Humor,0,1,6,36,104,151,4.3355704697986575,4.05,3062.0,587.0,https://www.goodreads.com/book/show/16000983-parenting?from_choice=true,253.0,0373892748,0.0,inf,inf,0.0
82,82,82,2013,"Still Foolin' 'Em: Where I've Been, Where I'm Going, and Where the Hell Are My Keys",['Billy Crystal'],Humor,0,4,13,85,122,73,3.831649831649832,4.0,21695.0,3258.0,https://www.goodreads.com/book/show/15843610-still-foolin-em?from_choice=true,85.0,0805098208,0.0,inf,inf,0.0
83,83,83,2013,Let's Explore Diabetes with Owls,['David Sedaris'],Humor,0,1,5,76,160,58,3.8966666666666665,3.99,1681150.0,71668.0,https://www.goodreads.com/book/show/15790837-let-s-explore-diabetes-with-owls?from_choice=true,225.0,0316154695,0.0,inf,inf,0.0
84,84,84,2013,Bad Monkey,['Carl Hiaasen'],Humor,0,1,13,104,138,43,3.6989966555183953,3.83,467618.0,36062.0,https://www.goodreads.com/book/show/16071701-bad-monkey?from_choice=true,176.0,0307272591,0.0,inf,inf,0.0
85,85,85,2013,Mad About the Boy,['Helen Fielding'],Humor,0,7,43,99,102,44,3.450847457627119,3.72,1026361.0,20335.0,https://www.goodreads.com/book/show/17262155-mad-about-the-boy?from_choice=true,50.0,0345807952,0.0,inf,inf,0.0
86,86,86,2013,Adulting: How to Become a Grown-up in 468 Easy(ish) Steps,['Kelly Williams Brown'],Humor,0,2,15,73,128,81,3.9063545150501673,3.73,11356.0,1449.0,https://www.goodreads.com/book/show/15791144-adulting?from_choice=true,211.0,1455516902,0.0,inf,inf,0.0
87,87,87,2013,The Last Word,['Lisa Lutz'],Humor,0,4,8,68,153,67,3.903333333333333,3.9,132467.0,15435.0,https://www.goodreads.com/book/show/16130417-the-last-word?from_choice=true,148.0,1451686668,0.0,inf,inf,0.0
88,88,88,2013,"William Shakespeare's Star Wars: Verily, A New Hope",['Ian Doescher'],Humor,0,3,5,59,121,109,4.1043771043771065,4.03,36188.0,5581.0,https://www.goodreads.com/book/show/17262540-william-shakespeare-s-star-wars?from_choice=true,155.0,1594746370,0.0,inf,inf,0.0
